d . . . m . m . m m m . m m m m m m m m m m m m m m m m
. m m . . . m . . . . . . . . m m m m m m m m m m m m m
. . m . m m . . m m . m . m . m m m m m m m m m m m m m
. m . . . . . m m m . m . m . m m m m m m m m m m m m m
. . m m m m . m m . m . . . m m m m m m m m m m m m m m
m . . . m m . . m . m m m . . m m m m m m m m m m m m m
m . m . m m m m . . . . . m m m m m m m m m m m m m m m
m . m . m . . . . m m m . m . m m m m m m m m m m m m m
. . . m m . m m . m . . . m . m m m m m m m m m m m m m
m . m m . . . . . m . m m m . m m m m m m m m m m m m m
m . . . m m m m . m . . . . m m m m m m m m m m m m m m
m m m . m . . . . m m m . . . m m m m m m m m m m m m m
m . . . m . m m m m m m . . m m m m m m m m m m m m m m
m . m m m . m . . . . . . . . m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
m . . . . . m m m . m m m m a m m m m m m m m m m m m m
